service_id,call_id,vehicle_id,service_type,service_date,resolution_days,service_cost,status
1,2,2,Oil Change,2024-10-22,1,1147,Resolved
2,5,4,Engine Tuning,2025-05-01,2,1903,Resolved
3,6,4,Tyre Replacement,2026-01-09,5,5409,Resolved
4,8,5,Engine Inspection,2024-11-22,12,2242,In Progress
5,10,6,Periodic Service,2026-02-24,6,2028,In Progress
6,11,7,Tyre Replacement,2026-03-23,2,6290,Resolved
7,12,8,Oil Seal Replacement,2024-07-31,6,2158,Resolved
8,13,7,Oil Seal Replacement,2025-04-28,6,2472,Resolved
9,15,9,Tyre Replacement,2024-07-08,1,4078,Open
10,16,9,Tyre Replacement,2026-03-23,4,5555,Resolved
11,20,12,Electrical Repair,2026-02-25,3,2042,In Progress
12,24,15,Battery Replacement,2025-05-07,2,3773,In Progress
13,26,15,Oil Seal Replacement,2025-01-04,2,1536,Resolved
14,27,16,Electrical Diagnosis,2026-04-13,2,1787,Open
15,28,16,Engine Mount Inspection,2024-08-20,1,848,Resolved
16,29,17,Battery Replacement,2024-06-27,3,2623,Resolved
17,33,18,Clutch Service,2026-03-10,5,3248,Resolved
18,36,18,Electrical Diagnosis,2024-07-13,1,1065,In Progress
19,39,21,Engine Inspection,2024-11-24,10,2446,In Progress
20,44,23,General Checkup,2025-03-26,5,854,Resolved
21,45,23,Oil Seal Replacement,2025-09-13,6,1434,Resolved
22,47,26,Engine Inspection,2025-08-16,6,1708,Resolved
23,48,27,Engine Mount Inspection,2024-09-29,4,1568,In Progress
24,49,27,Electrical Repair,2025-12-16,5,2367,Open
25,51,27,Engine Inspection,2025-07-28,5,2374,In Progress
26,52,28,Battery Replacement,2024-11-21,3,4310,Resolved
27,54,28,Tyre Replacement,2025-09-16,4,6469,Open
28,55,28,Tyre Replacement,2025-08-19,4,2699,Open
29,56,29,Fuel Line Repair,2026-04-22,13,2404,Resolved
30,58,29,Periodic Service,2025-05-09,1,1391,Resolved
31,59,29,Starting System Diagnosis,2024-09-05,2,2453,Resolved
32,60,30,Oil Change,2026-03-10,1,683,Resolved
33,66,31,General Checkup,2025-12-19,1,808,Resolved
34,67,31,Engine Mount Inspection,2025-06-16,1,1191,Resolved
35,68,31,Battery Check,2025-09-13,1,595,Open
36,69,33,Electrical Repair,2025-08-16,2,3486,Resolved
37,71,33,Clutch Service,2026-01-12,2,3830,Resolved
38,73,34,General Checkup,2025-04-15,6,421,Open
39,75,34,Tyre Replacement,2025-03-04,2,5512,Open
40,76,34,Battery Check,2025-03-29,5,474,In Progress
41,77,35,Chain Adjustment,2025-04-02,1,351,Resolved
42,78,35,Suspension Service,2025-03-30,4,1577,In Progress
43,79,35,Battery Replacement,2025-03-22,6,3636,Resolved
44,82,38,Exhaust Inspection,2026-05-04,1,852,Resolved
45,84,39,Exhaust Inspection,2025-08-23,4,1635,In Progress
46,85,39,Engine Tuning,2026-05-03,3,1089,Resolved
47,87,40,Engine Mount Inspection,2024-07-17,4,1294,Resolved
48,89,41,Electrical Repair,2024-06-23,5,3420,Resolved
49,90,41,Fuel Line Repair,2025-05-04,7,3465,Open
50,91,41,Suspension Service,2026-05-21,1,4358,Resolved
51,94,44,Periodic Service,2025-04-23,5,2860,Open
52,95,43,Brake Inspection,2025-08-20,5,893,Resolved
53,97,43,General Checkup,2025-03-01,7,560,In Progress
54,99,45,Brake Inspection,2024-10-05,6,887,Resolved
55,100,45,Exhaust Inspection,2026-01-21,4,1362,Resolved
56,101,45,Fuel Line Repair,2024-07-07,13,3126,Open
57,103,46,Suspension Service,2024-12-26,4,3180,In Progress
58,104,46,Brake Inspection,2024-12-31,5,929,Resolved
59,105,46,Tyre Replacement,2026-03-15,2,6371,Resolved
60,107,47,Chain Adjustment,2024-06-21,5,395,Resolved
61,108,47,Engine Tuning,2025-06-25,1,2623,Resolved
62,109,47,Starter Inspection,2024-08-19,3,868,Resolved
63,111,48,Suspension Service,2024-10-19,3,1955,Resolved
64,113,49,Tyre Replacement,2025-12-08,3,3853,Resolved
65,114,49,Battery Check,2024-08-25,3,475,Resolved
66,115,52,Battery Replacement,2026-03-06,4,3872,Resolved
67,116,53,Clutch Service,2025-07-31,4,3491,In Progress
68,118,52,Oil Seal Replacement,2025-06-27,7,956,Resolved
69,119,54,Fuel Line Repair,2025-01-06,13,3255,Resolved
70,121,57,Brake Inspection,2026-03-10,7,634,In Progress
71,122,55,Battery Check,2025-03-08,4,722,Resolved
72,125,58,Engine Tuning,2025-10-23,4,1701,Open
73,127,60,Engine Inspection,2025-07-07,11,1348,Resolved
74,129,60,Wheel Alignment,2025-06-27,5,988,Resolved
75,132,61,Battery Replacement,2026-03-19,2,3723,Resolved
76,135,64,Periodic Service,2024-10-09,1,1267,Open
77,137,66,Engine Mount Inspection,2025-07-25,4,1044,Resolved
78,143,68,Engine Inspection,2024-09-28,7,2001,Resolved
79,144,70,Oil Seal Replacement,2025-11-08,6,805,Resolved
80,145,69,Battery Check,2024-07-27,1,430,In Progress
81,147,73,Wheel Alignment,2025-07-12,2,1126,Open
82,148,73,Wheel Alignment,2025-07-19,4,811,Resolved
83,149,73,Chain Adjustment,2026-04-08,3,426,Resolved
84,150,72,Oil Seal Replacement,2025-05-25,5,1444,Resolved
85,153,75,Engine Inspection,2026-02-05,15,1941,Resolved
86,154,74,Electrical Repair,2025-12-19,3,1820,Resolved
87,156,76,Chain Adjustment,2025-08-04,5,328,In Progress
88,157,78,Brake Inspection,2025-03-05,3,901,Resolved
89,158,79,Battery Check,2025-08-29,6,775,Resolved
90,159,78,Battery Check,2025-12-31,4,749,In Progress
91,161,80,Brake Repair,2025-05-27,10,2187,Resolved
92,163,80,Oil Seal Replacement,2024-07-30,6,1092,In Progress
93,164,81,Exhaust Inspection,2025-06-04,2,947,Resolved
94,170,84,Battery Replacement,2026-01-25,3,2516,Open
95,171,87,Engine Inspection,2024-07-07,7,1535,Resolved
96,173,87,Battery Replacement,2024-12-09,6,4488,Resolved
97,174,86,Brake Inspection,2026-04-04,6,410,Resolved
98,175,89,Wheel Alignment,2025-07-17,6,757,Resolved
99,177,88,Brake Repair,2026-02-09,10,3839,Resolved
100,178,88,Oil Seal Replacement,2024-07-17,6,2110,Open
101,179,88,Battery Check,2025-08-17,2,710,In Progress
102,180,90,Wheel Alignment,2025-10-05,5,1131,Resolved
103,182,90,Engine Inspection,2024-09-27,13,1298,Open
104,183,91,Battery Check,2025-08-20,4,796,Resolved
105,184,91,Engine Tuning,2024-10-24,2,2364,Resolved
106,185,91,Battery Replacement,2025-04-29,5,3891,Resolved
107,186,91,Engine Inspection,2025-12-31,6,2069,Resolved
108,188,92,General Checkup,2024-07-09,7,487,Open
109,190,92,Engine Inspection,2025-01-05,2,1781,Resolved
110,191,92,Engine Tuning,2026-05-19,3,2667,Resolved
111,192,93,Wheel Alignment,2026-01-11,1,887,Resolved
112,194,94,Brake Inspection,2024-10-22,2,573,Open
113,196,94,Starter Inspection,2025-03-08,3,1219,Resolved
