survey_id,service_id,customer_rating,will_return,recommend_service,feedback
1,1,4,Yes,Yes,Reasonably happy with the service.
2,2,5,Yes,Yes,Staff were helpful and courteous.
3,3,3,No,No,Average service experience.
4,4,2,No,No,Not fully satisfied with the service.
5,5,3,No,No,Could have been handled better.
6,6,4,Yes,Yes,Issue resolved satisfactorily.
7,7,5,Yes,Yes,Very satisfied with the service provided.
8,8,4,Yes,Yes,Good experience with the service center.
9,9,1,No,No,Issue still not resolved.
10,10,3,No,No,Could have been handled better.
11,11,4,Yes,Yes,Issue resolved satisfactorily.
12,12,3,No,No,Service was acceptable.
13,13,4,Yes,Yes,Issue resolved satisfactorily.
14,14,1,No,No,Poor service experience.
15,15,5,Yes,Yes,Staff were helpful and courteous.
16,16,5,Yes,Yes,Excellent service experience.
17,17,4,Yes,Yes,Issue resolved satisfactorily.
18,18,4,Yes,Yes,Service was good overall.
19,19,2,No,No,Communication could be improved.
20,20,5,Yes,Yes,Very satisfied with the service provided.
21,21,5,Yes,Yes,Issue resolved quickly and professionally.
22,22,3,No,No,Service was acceptable.
23,23,2,No,No,Not fully satisfied with the service.
24,24,2,No,No,Communication could be improved.
25,25,2,No,No,Resolution took longer than expected.
26,26,4,Yes,Yes,Issue resolved satisfactorily.
27,27,1,No,No,Would not recommend this service center.
28,28,2,No,No,Not fully satisfied with the service.
29,29,3,No,No,Average service experience.
30,30,5,Yes,Yes,Excellent service experience.
31,31,5,Yes,Yes,Excellent service experience.
32,32,5,Yes,Yes,Issue resolved quickly and professionally.
33,33,5,Yes,Yes,Issue resolved quickly and professionally.
34,34,5,Yes,Yes,Issue resolved quickly and professionally.
35,35,1,No,No,Poor service experience.
36,36,4,Yes,Yes,Service was good overall.
37,37,5,Yes,Yes,Issue resolved quickly and professionally.
38,38,1,No,No,Poor service experience.
39,39,1,No,No,Poor service experience.
40,40,3,No,No,Service was acceptable.
41,41,5,Yes,Yes,Issue resolved quickly and professionally.
42,42,3,No,No,Average service experience.
43,43,5,Yes,Yes,Staff were helpful and courteous.
44,44,5,Yes,Yes,Very satisfied with the service provided.
45,45,3,No,No,Average service experience.
46,46,5,Yes,Yes,Staff were helpful and courteous.
47,47,3,No,No,Issue eventually resolved.
48,48,4,Yes,Yes,Service was good overall.
49,49,1,No,No,Poor service experience.
50,50,5,Yes,Yes,Very satisfied with the service provided.
51,51,2,No,No,Resolution took longer than expected.
52,52,5,Yes,Yes,Issue resolved quickly and professionally.
53,53,3,No,No,Issue eventually resolved.
54,54,4,Yes,Yes,Issue resolved satisfactorily.
55,55,5,Yes,Yes,Issue resolved quickly and professionally.
56,56,2,No,No,Service experience was below expectations.
57,57,4,Yes,Yes,Reasonably happy with the service.
58,58,4,Yes,Yes,Reasonably happy with the service.
59,59,4,Yes,Yes,Issue resolved satisfactorily.
60,60,5,Yes,Yes,Staff were helpful and courteous.
61,61,4,Yes,Yes,Good experience with the service center.
62,62,5,Yes,Yes,Issue resolved quickly and professionally.
63,63,5,Yes,Yes,Excellent service experience.
64,64,4,Yes,Yes,Issue resolved satisfactorily.
65,65,4,Yes,Yes,Reasonably happy with the service.
66,66,4,Yes,Yes,Good experience with the service center.
67,67,3,No,No,Average service experience.
68,68,3,No,No,Could have been handled better.
69,69,2,No,No,Resolution took longer than expected.
70,70,3,No,No,Could have been handled better.
71,71,3,No,No,Could have been handled better.
72,72,2,No,No,Service experience was below expectations.
73,73,4,Yes,Yes,Reasonably happy with the service.
74,74,4,Yes,Yes,Issue resolved satisfactorily.
75,75,4,Yes,Yes,Good experience with the service center.
76,76,2,No,No,Service experience was below expectations.
77,77,3,No,No,Could have been handled better.
78,78,4,Yes,Yes,Reasonably happy with the service.
79,79,4,Yes,Yes,Good experience with the service center.
80,80,4,Yes,Yes,Service was good overall.
81,81,1,No,No,Very dissatisfied with the service.
82,82,5,Yes,Yes,Staff were helpful and courteous.
83,83,5,Yes,Yes,Issue resolved quickly and professionally.
84,84,4,Yes,Yes,Service was good overall.
85,85,3,No,No,Could have been handled better.
86,86,5,Yes,Yes,Very satisfied with the service provided.
87,87,3,No,No,Issue eventually resolved.
88,88,5,Yes,Yes,Excellent service experience.
89,89,3,No,No,Service was acceptable.
90,90,3,No,No,Average service experience.
91,91,3,No,No,Average service experience.
92,92,3,No,No,Could have been handled better.
93,93,5,Yes,Yes,Very satisfied with the service provided.
94,94,1,No,No,Very dissatisfied with the service.
95,95,4,Yes,Yes,Good experience with the service center.
96,96,4,Yes,Yes,Reasonably happy with the service.
97,97,4,Yes,Yes,Service was good overall.
98,98,4,Yes,Yes,Reasonably happy with the service.
99,99,2,No,No,Not fully satisfied with the service.
100,100,2,No,No,Communication could be improved.
101,101,3,No,No,Could have been handled better.
102,102,5,Yes,Yes,Excellent service experience.
103,103,1,No,No,Issue still not resolved.
104,104,5,Yes,Yes,Staff were helpful and courteous.
105,105,4,Yes,Yes,Reasonably happy with the service.
106,106,5,Yes,Yes,Excellent service experience.
107,107,4,Yes,Yes,Reasonably happy with the service.
108,108,1,No,No,Would not recommend this service center.
109,109,5,Yes,Yes,Very satisfied with the service provided.
110,110,5,Yes,Yes,Staff were helpful and courteous.
111,111,5,Yes,Yes,Staff were helpful and courteous.
112,112,1,No,No,Poor service experience.
113,113,5,Yes,Yes,Very satisfied with the service provided.
114,114,5,Yes,Yes,Issue resolved quickly and professionally.
115,115,4,Yes,Yes,Good experience with the service center.
116,116,4,Yes,Yes,Issue resolved satisfactorily.
117,117,4,Yes,Yes,Good experience with the service center.
118,118,3,No,No,Issue eventually resolved.
119,119,5,Yes,Yes,Staff were helpful and courteous.
120,120,4,Yes,Yes,Service was good overall.
121,121,1,No,No,Very dissatisfied with the service.
122,122,5,Yes,Yes,Excellent service experience.
123,123,4,Yes,Yes,Issue resolved satisfactorily.
124,124,4,Yes,Yes,Reasonably happy with the service.
125,125,4,Yes,Yes,Issue resolved satisfactorily.
126,126,4,Yes,Yes,Issue resolved satisfactorily.
