vehicle_id,customer_id,vehicle_number,make,model,year,vehicle_age,purchase_date
1,1,TN03IU5878,TVS,Apache RTR 160,2019,7,2019-01-10
2,1,TN01XL6184,Bajaj,CT110,2025,1,2025-05-19
3,1,TN38HY5568,Suzuki,V Strom SX,2021,5,2021-04-13
4,2,TN22IW5418,Suzuki,Gixxer,2023,3,2023-06-14
5,2,TN58FT9882,Yamaha,R15 V4,2018,8,2018-05-15
6,3,TN59HK6576,Honda,Hornet 2.0,2025,1,2025-01-14
7,4,TN22NM4120,Bajaj,CT110,2018,8,2018-09-08
8,4,TN22IO5851,Bajaj,Platina,2018,8,2018-12-24
9,5,TN37CY2452,Honda,CB200X,2017,9,2017-05-08
10,6,TN59PP4471,Bajaj,Pulsar NS200,2018,8,2018-11-10
11,6,TN37AV5103,Honda,SP125,2020,6,2020-05-02
12,7,TN37BC4485,Honda,CB200X,2021,5,2021-02-23
13,8,TN02SB8769,Yamaha,Fascino,2025,1,2025-05-20
14,8,TN10MQ4444,Hero,Passion Pro,2022,4,2022-03-10
15,9,TN37HG3882,Hero,Xtreme 160R,2019,7,2019-09-16
16,10,TN18HS7960,Honda,Hornet 2.0,2022,4,2022-09-27
17,11,TN10NA2079,Yamaha,Fascino,2018,8,2018-07-06
18,12,TN04ZZ2245,Suzuki,Access 125,2025,1,2025-09-25
19,13,TN45TT8492,Bajaj,Platina,2018,8,2018-02-28
20,14,TN59RZ2574,Bajaj,Pulsar 150,2018,8,2018-06-03
21,14,TN37KS5570,Hero,Xtreme 160R,2018,8,2018-07-21
22,15,TN18KB7870,Hero,Glamour,2025,1,2025-12-14
23,16,TN38GO1524,Hero,HF Deluxe,2020,6,2020-06-27
24,16,TN58EF8735,Suzuki,Gixxer SF,2022,4,2022-09-16
25,17,TN04ZV8144,TVS,NTorq 125,2018,8,2018-11-14
26,18,TN04QJ8932,Yamaha,RayZR,2019,7,2019-10-26
27,19,TN33KK3855,Suzuki,Gixxer 250,2023,3,2023-04-16
28,20,TN38PX6117,Honda,Unicorn,2018,8,2018-04-28
29,21,TN18OP2211,Hero,HF Deluxe,2024,2,2024-06-25
30,22,TN45XC6708,Hero,Splendor Plus,2024,2,2024-03-24
31,23,TN45GY3143,Yamaha,Aerox 155,2026,0,2026-11-13
32,23,TN37HH2844,TVS,Apache RTR 160,2017,9,2017-11-04
33,24,TN04GT1692,TVS,Ronin,2026,0,2026-10-22
34,25,TN45FD4262,Suzuki,Gixxer 250,2017,9,2017-06-09
35,26,TN28SL2890,Bajaj,Pulsar 150,2022,4,2022-02-06
36,26,TN04HC1897,Suzuki,Gixxer 250,2026,0,2026-11-13
37,27,TN01DU2101,Bajaj,Pulsar N160,2023,3,2023-10-02
38,28,TN03FT1062,Bajaj,Pulsar 150,2022,4,2022-12-19
39,29,TN33GT7172,Honda,Dio,2026,0,2026-01-11
40,30,TN22VA1475,Yamaha,RayZR,2025,1,2025-08-28
41,31,TN09KJ6342,Yamaha,R15 V4,2025,1,2025-11-02
42,32,TN33CO4124,Suzuki,Burgman Street,2023,3,2023-03-13
43,33,TN18KP2355,Bajaj,Avenger Street,2026,0,2026-09-04
